#Group	#Point	X_cord	Y_cord	Z_cord
1	1	1.000000	0.001580	0
1	2	0.950000	0.010080	0
1	3	0.900000	0.018100	0
1	4	0.800000	0.032790	0
1	5	0.700000	0.045800	0
1	6	0.600000	0.057040	0
1	7	0.500000	0.066170	0
1	8	0.400000	0.072540	0
1	9	0.300000	0.075020	0
1	10	0.250000	0.074270	0
1	11	0.200000	0.071720	0
1	12	0.150000	0.066820	0
1	13	0.100000	0.058530	0
1	14	0.075000	0.052500	0
1	15	0.050000	0.044430	0
1	16	0.025000	0.032680	0
1	17	0.012500	0.023670	0
1	18	0.000000	0.000000	0
1	19	0.012500	-0.023670	0
1	20	0.025000	-0.032680	0
1	21	0.050000	-0.044430	0
1	22	0.075000	-0.052500	0
1	23	0.100000	-0.058530	0
1	24	0.150000	-0.066820	0
1	25	0.200000	-0.071720	0
1	26	0.250000	-0.074270	0
1	27	0.300000	-0.075020	0
1	28	0.400000	-0.072540	0
1	29	0.500000	-0.066170	0
1	30	0.600000	-0.057040	0
1	31	0.700000	-0.045800	0
1	32	0.800000	-0.032790	0
1	33	0.900000	-0.018100	0
1	34	0.950000	-0.010080	0
1	35	1.000000	-0.001580	0
